Year,Split,Kind,Team,ID,Name,Place,Games,Wins,Losses,Win Rate,Kills,Deaths,Assists,KDA,CS,CS per Minute,Gold,Gold per Minute,Kill Part.,Kill Share,Gold Share,Champs Played
2013,spring,regular season,compLexity Gaming,brunch,Josh Abrantes,7,28,9,19,32.1,3.46,3.21,6.75,3.18,282.32,7.4,13.2,346.0,,,,6
2013,spring,regular season,compLexity Gaming,lautemortis,Tyler Nicholls,7,28,9,19,32.1,1.43,3.93,8.68,2.57,138.25,3.62,9.5,249.0,,,,11
2013,spring,regular season,compLexity Gaming,meyea,Abe Nguyen,7,28,9,19,32.1,0.96,3.64,9.93,2.99,19.5,0.51,8.5,223.0,,,,9
2013,spring,regular season,compLexity Gaming,nickwu,Nicholas Wu Smith,7,28,9,19,32.1,4.64,3.61,5.86,2.91,218.54,5.73,11.9,312.0,,,,9
2013,spring,regular season,compLexity Gaming,chuuper,Samuel Chu,7,18,4,14,22.2,3.61,3.78,5.33,2.37,243.56,6.47,11.8,314.0,,,,10
2013,spring,regular season,compLexity Gaming,pr0lly,Neil Hammad,7,10,5,5,50.0,4.3,3.5,7.6,3.4,271.4,6.95,13.5,347.0,,,,8
2013,spring,regular season,CLG,aphromoo,Zaqueri Black,5,28,13,15,46.4,0.71,2.46,9.39,4.1,21.29,0.58,8.1,220.0,,,,8
2013,spring,regular season,CLG,doublelift,"Yiliang ""Peter"" Peng",5,28,13,15,46.4,5.43,2.68,4.29,3.63,303.96,8.3,14.0,382.0,,,,7
2013,spring,regular season,CLG,hotshotgg,George Georgallidis,5,28,13,15,46.4,1.86,2.93,6.29,2.78,201.79,5.51,10.6,289.0,,,,10
2013,spring,regular season,CLG,link,Austin Shin,5,28,13,15,46.4,3.21,2.29,6.46,4.23,254.61,6.95,12.3,335.0,,,,13
2013,spring,regular season,CLG,chauster,Steve Chau,5,26,12,14,46.2,0.96,3.27,8.15,2.79,100.96,2.75,8.5,232.0,,,,9
2013,spring,regular season,CLG,bigfatlp,Michael Tang,5,2,1,1,50.0,3.0,2.5,6.0,3.6,289.0,7.96,12.3,339.0,,,,2
2013,spring,regular season,Good Game University,darshan,Darshan Upadhyaya,2,28,11,17,39.3,3.46,3.18,5.61,2.85,245.75,6.66,11.7,317.0,,,,13
2013,spring,regular season,Good Game University,mash,Brandon Phan,2,28,11,17,39.3,4.04,2.43,4.86,3.66,295.86,8.01,13.4,363.0,,,,9
2013,spring,regular season,Good Game University,nintendudex,Joshua Atkins,2,28,11,17,39.3,1.14,2.57,7.29,3.28,113.14,3.06,8.3,226.0,,,,9
2013,spring,regular season,Good Game University,jintae,Justin Dinh,2,21,10,11,47.6,2.62,3.29,7.05,2.94,231.19,6.41,11.1,307.0,,,,8
2013,spring,regular season,Good Game University,daydreamin,Miles Hoard,2,10,6,4,60.0,1.6,3.0,7.7,3.1,24.8,0.66,8.0,211.0,,,,7
2013,spring,regular season,Good Game University,fat,Brian Cao,2,5,1,4,20.0,2.0,3.8,3.8,1.53,199.8,5.45,9.7,263.0,,,,5
2013,spring,regular season,Good Game University,anjo,Angelo Joshua Cortez,2,2,0,2,0.0,0.0,3.5,12.0,3.43,35.5,0.76,9.8,211.0,,,,2
2013,spring,regular season,Good Game University,shiphtur,Danny Le,2,2,0,2,0.0,6.5,3.0,9.5,5.33,338.5,7.26,16.3,349.0,,,,2
2013,spring,regular season,Good Game University,bloodwater,Lyubomir Spasov (Любомир Спасов),2,24,10,14,41.7,0.71,1.67,8.83,5.73,26.79,0.75,8.3,234.0,,,,8
2013,spring,regular season,Team Curse,cop,David Roberson,4,28,19,9,67.9,4.46,1.29,6.75,8.72,264.18,7.29,13.1,361.0,,,,8
2013,spring,regular season,Team Curse,elementz,Cody Sigfusson,4,28,19,9,67.9,0.75,2.21,11.0,5.31,30.96,0.85,9.0,249.0,,,,7
2013,spring,regular season,Team Curse,nyjacky,"Chenglong ""Jacky"" Wang",4,28,19,9,67.9,3.39,2.43,7.96,4.68,248.36,6.85,12.3,341.0,,,,10
2013,spring,regular season,Team Curse,saintvicious,Brandon DiMarco,4,28,19,9,67.9,2.57,2.89,9.29,4.1,142.04,3.92,10.2,281.0,,,,9
2013,spring,regular season,Team Curse,voyboy,Joedat Esfahani,4,28,19,9,67.9,4.32,2.64,5.54,3.73,245.11,6.76,12.5,344.0,,,,12
2013,spring,regular season,Team Dignitas,imaqtpie,Michael Santana,5,28,17,11,60.7,4.14,2.07,6.36,5.07,261.11,7.54,12.7,368.0,,,,8
2013,spring,regular season,Team Dignitas,kiwikid,Alan Nguyen,5,28,17,11,60.7,3.25,2.57,5.96,3.58,220.64,6.37,11.3,328.0,,,,10
2013,spring,regular season,Team Dignitas,patoy,Jordan Blackburn,5,28,17,11,60.7,1.04,1.32,9.25,7.78,43.07,1.24,8.6,249.0,,,,8
2013,spring,regular season,Team Dignitas,scarra,William Li,5,28,17,11,60.7,4.29,2.29,5.64,4.34,256.82,7.42,12.4,359.0,,,,10
2013,spring,regular season,Team Dignitas,crumbz,Alberto Rengifo,5,26,17,9,65.4,2.42,3.0,9.12,3.85,141.04,4.06,10.0,287.0,,,,7
2013,spring,regular season,Team Dignitas,dj lambo,David Jeong,5,2,0,2,0.0,0.5,2.0,5.0,2.75,123.5,3.79,7.4,227.0,,,,2
2013,spring,regular season,Team MRN,clakeyd,Clark Douglas Smith,7,28,10,18,35.7,1.32,4.0,7.21,2.13,151.39,4.36,9.0,260.0,,,,7
2013,spring,regular season,Team MRN,heartbeat,"Lim ""Peter"" Sung-moo",7,28,10,18,35.7,1.54,3.0,6.75,2.76,112.96,3.25,9.1,264.0,,,,10
2013,spring,regular season,Team MRN,megazero,Patrick Glinsman,7,28,10,18,35.7,3.0,2.79,5.57,3.08,194.07,5.59,10.3,296.0,,,,11
2013,spring,regular season,Team MRN,ecco,Tyler Spesick,7,25,10,15,40.0,2.88,2.52,6.32,3.65,252.24,7.18,11.8,336.0,,,,11
2013,spring,regular season,Team MRN,nien,Zachary Malhas,7,18,6,12,33.3,5.22,3.22,5.11,3.21,314.78,8.76,13.9,386.0,,,,8
2013,spring,regular season,Team MRN,atomicn,Dylan Newton,7,12,4,8,33.3,0.25,3.17,6.0,1.97,12.33,0.38,6.7,204.0,,,,6
2013,spring,regular season,Team MRN,nysyli,Michael Tribble,7,1,0,1,0.0,0.0,5.0,4.0,0.8,159.0,5.85,6.4,235.0,,,,1
2013,spring,regular season,Team SoloMid,dyrus,Marcus Hill,1,28,21,7,75.0,3.14,1.89,6.82,5.26,227.07,6.46,11.8,336.0,,,,8
2013,spring,regular season,Team SoloMid,reginaid,Andy Dinh,1,28,21,7,75.0,3.93,2.75,6.71,3.87,240.21,6.84,12.3,350.0,,,,9
2013,spring,regular season,Team SoloMid,theoddone,Brian Wyllie,1,28,21,7,75.0,1.71,2.39,9.89,4.85,118.07,3.36,9.3,266.0,,,,7
2013,spring,regular season,Team SoloMid,xpecial,Alex Chu (朱啓恩),1,28,21,7,75.0,0.93,2.29,10.39,4.95,22.11,0.63,8.2,235.0,,,,6
2013,spring,regular season,Team SoloMid,chaox,Shan Huang,1,14,9,5,64.3,4.21,2.71,6.07,3.79,268.79,7.49,13.0,362.0,,,,4
2013,spring,regular season,Team Vulcun,benny,Benny Hung,3,28,12,16,42.9,2.36,2.21,5.36,3.48,222.54,5.84,11.4,299.0,,,,10
2013,spring,regular season,Team Vulcun,mancloud,Zachary Allan Hoschar,3,28,12,16,42.9,4.25,2.68,6.0,3.83,291.61,7.65,13.6,356.0,,,,14
2013,spring,regular season,Team Vulcun,xmithie,Jake Kevin Puchero,3,28,12,16,42.9,1.61,3.79,8.5,2.67,138.5,3.63,9.6,251.0,,,,8
2013,spring,regular season,Team Vulcun,zuna,Christopher Buechter,3,28,12,16,42.9,4.57,2.89,5.32,3.42,269.82,7.08,13.2,347.0,,,,10
2013,spring,regular season,Team Vulcun,muffinqt,Jacob Lowry,3,20,7,13,35.0,0.65,3.55,9.0,2.72,23.4,0.6,8.4,216.0,,,,5
2013,spring,playoffs,CLG,aphromoo,Zaqueri Black,5,3,1,2,33.3,1.0,4.0,7.0,2.0,17.33,0.52,7.0,210.0,,,,2
2013,spring,playoffs,CLG,chauster,Steve Chau,5,3,1,2,33.3,1.0,2.67,6.33,2.75,86.33,2.57,7.2,216.0,,,,3
2013,spring,playoffs,CLG,doublelift,"Yiliang ""Peter"" Peng",5,3,1,2,33.3,1.0,3.67,4.33,1.45,283.0,8.44,11.2,335.0,,,,2
2013,spring,playoffs,CLG,hotshotgg,George Georgallidis,5,3,1,2,33.3,2.33,2.33,5.33,3.29,205.33,6.12,9.8,292.0,,,,1
2013,spring,playoffs,CLG,link,Austin Shin,5,3,1,2,33.3,3.67,1.33,4.33,6.0,310.67,9.27,12.5,372.0,,,,1
2013,spring,playoffs,Good Game University,darshan,Darshan Upadhyaya,2,11,6,5,54.5,3.55,1.64,5.55,5.56,275.45,7.25,13.3,349.0,,,,6
2013,spring,playoffs,Good Game University,daydreamin,Miles Hoard,2,11,6,5,54.5,0.82,3.36,7.91,2.59,19.09,0.5,7.5,198.0,,,,4
2013,spring,playoffs,Good Game University,jintae,Justin Dinh,2,11,6,5,54.5,2.27,3.55,7.18,2.67,247.91,6.52,11.8,312.0,,,,4
2013,spring,playoffs,Good Game University,mash,Brandon Phan,2,11,6,5,54.5,4.64,2.27,4.55,4.04,319.36,8.4,14.2,375.0,,,,4
2013,spring,playoffs,Good Game University,nintendudex,Joshua Atkins,2,11,6,5,54.5,1.45,2.82,7.91,3.32,147.73,3.89,9.6,252.0,,,,4
2013,spring,playoffs,Team Curse,cop,David Roberson,4,6,2,4,33.3,6.67,2.17,6.83,6.23,356.0,8.1,16.8,382.0,,,,3
2013,spring,playoffs,Team Curse,nyjacky,"Chenglong ""Jacky"" Wang",4,6,2,4,33.3,4.5,4.67,9.17,2.93,270.17,6.15,14.4,327.0,,,,5
2013,spring,playoffs,Team Curse,rhux,Keenan Santos,4,6,2,4,33.3,1.0,4.33,13.33,3.31,33.5,0.76,9.3,213.0,,,,3
2013,spring,playoffs,Team Curse,saintvicious,Brandon DiMarco,4,6,2,4,33.3,1.33,4.17,13.0,3.44,171.67,3.91,11.8,268.0,,,,3
2013,spring,playoffs,Team Curse,voyboy,Joedat Esfahani,4,6,2,4,33.3,4.5,2.33,8.83,5.71,293.0,6.67,14.6,332.0,,,,4
2013,spring,playoffs,Team Dignitas,crumbz,Alberto Rengifo,5,3,1,2,33.3,0.67,2.33,6.33,3.0,112.67,3.05,8.4,228.0,,,,3
2013,spring,playoffs,Team Dignitas,imaqtpie,Michael Santana,5,3,1,2,33.3,3.67,1.67,6.0,5.8,275.0,7.44,12.6,342.0,,,,2
2013,spring,playoffs,Team Dignitas,kiwikid,Alan Nguyen,5,3,1,2,33.3,2.0,3.0,4.33,2.11,244.33,6.61,11.2,303.0,,,,2
2013,spring,playoffs,Team Dignitas,patoy,Jordan Blackburn,5,3,1,2,33.3,0.67,1.33,6.67,5.5,30.33,0.82,8.1,218.0,,,,3
